persona,date,amount
new_gig_worker,2025-06-02,0.0
new_gig_worker,2025-06-06,5859.12
new_gig_worker,2025-06-08,4140.42
new_gig_worker,2025-06-09,879.54
new_gig_worker,2025-06-16,9635.19
new_gig_worker,2025-06-17,4167.53
new_gig_worker,2025-06-18,3075.25
new_gig_worker,2025-06-25,0.0
new_gig_worker,2025-06-26,9119.28
new_gig_worker,2025-06-30,4498.24
new_gig_worker,2025-07-01,1300.12
new_gig_worker,2025-07-03,2832.56
new_gig_worker,2025-07-10,7076.61
spiky_freelancer,2025-01-03,9751.39
spiky_freelancer,2025-01-05,0.0
spiky_freelancer,2025-01-12,11391.54
spiky_freelancer,2025-01-13,9935.83
spiky_freelancer,2025-01-15,21173.53
spiky_freelancer,2025-01-18,25294.44
spiky_freelancer,2025-01-21,8472.77
spiky_freelancer,2025-01-30,6655.07
spiky_freelancer,2025-02-06,10515.26
spiky_freelancer,2025-02-06,1866.77
spiky_freelancer,2025-02-07,16377.77
spiky_freelancer,2025-02-13,17792.01
spiky_freelancer,2025-02-16,12307.42
spiky_freelancer,2025-03-10,12024.97
spiky_freelancer,2025-03-18,4627.97
spiky_freelancer,2025-03-18,8487.21
spiky_freelancer,2025-03-31,15171.84
spiky_freelancer,2025-04-20,0.0
spiky_freelancer,2025-04-26,11866.19
spiky_freelancer,2025-04-27,5049.05
spiky_freelancer,2025-05-02,9555.12
spiky_freelancer,2025-05-11,6845.39
spiky_freelancer,2025-06-02,0.0
spiky_freelancer,2025-06-08,7952.55
spiky_freelancer,2025-06-09,13139.61
spiky_freelancer,2025-06-12,22332.03
spiky_freelancer,2025-06-21,13657.04
steady_delivery_partner,2025-01-03,3001.52
steady_delivery_partner,2025-01-06,3879.29
steady_delivery_partner,2025-01-06,2762.46
steady_delivery_partner,2025-01-06,2475.25
steady_delivery_partner,2025-01-16,2153.32
steady_delivery_partner,2025-01-20,2365.41
steady_delivery_partner,2025-01-21,2693.33
steady_delivery_partner,2025-01-23,2036.52
steady_delivery_partner,2025-01-24,2470.03
steady_delivery_partner,2025-01-25,4961.99
steady_delivery_partner,2025-01-31,4022.94
steady_delivery_partner,2025-02-01,1767.77
steady_delivery_partner,2025-02-04,1732.61
steady_delivery_partner,2025-02-09,3054.27
steady_delivery_partner,2025-02-10,3114.41
steady_delivery_partner,2025-02-11,994.57
steady_delivery_partner,2025-02-13,1802.85
steady_delivery_partner,2025-02-16,5853.88
steady_delivery_partner,2025-02-16,892.44
steady_delivery_partner,2025-02-16,2782.37
steady_delivery_partner,2025-02-17,3609.31
steady_delivery_partner,2025-02-25,3169.59
steady_delivery_partner,2025-02-25,415.85
steady_delivery_partner,2025-02-26,3461.41
steady_delivery_partner,2025-03-01,2956.01
steady_delivery_partner,2025-03-04,1026.53
steady_delivery_partner,2025-03-04,2091.66
steady_delivery_partner,2025-03-05,3100.63
steady_delivery_partner,2025-03-07,2443.88
steady_delivery_partner,2025-03-09,1892.52
steady_delivery_partner,2025-03-11,4461.19
steady_delivery_partner,2025-03-21,3072.48
steady_delivery_partner,2025-03-22,2771.12
steady_delivery_partner,2025-03-28,3559.12
steady_delivery_partner,2025-04-01,2307.86
steady_delivery_partner,2025-04-01,1719.56
steady_delivery_partner,2025-04-05,887.76
steady_delivery_partner,2025-04-05,3567.61
steady_delivery_partner,2025-04-07,2392.05
steady_delivery_partner,2025-04-08,2253.77
steady_delivery_partner,2025-04-10,2161.89
steady_delivery_partner,2025-04-11,1443.78
steady_delivery_partner,2025-04-11,968.22
steady_delivery_partner,2025-04-14,1047.4
steady_delivery_partner,2025-04-16,2644.41
steady_delivery_partner,2025-04-19,2975.73
steady_delivery_partner,2025-04-19,2577.33
steady_delivery_partner,2025-04-20,658.46
steady_delivery_partner,2025-04-28,2738.94
steady_delivery_partner,2025-05-09,3587.42
steady_delivery_partner,2025-05-09,1286.92
steady_delivery_partner,2025-05-11,3540.07
steady_delivery_partner,2025-05-12,5622.56
steady_delivery_partner,2025-05-14,1923.78
steady_delivery_partner,2025-05-16,1230.16
steady_delivery_partner,2025-05-18,2700.39
steady_delivery_partner,2025-05-24,2748.94
steady_delivery_partner,2025-05-27,805.87
steady_delivery_partner,2025-05-28,614.03
steady_delivery_partner,2025-05-30,938.62
steady_delivery_partner,2025-05-30,4095.54
steady_delivery_partner,2025-05-31,3142.32
steady_delivery_partner,2025-06-02,2809.44
steady_delivery_partner,2025-06-03,4913.45
steady_delivery_partner,2025-06-04,1237.1
steady_delivery_partner,2025-06-05,1809.44
steady_delivery_partner,2025-06-06,1206.44
steady_delivery_partner,2025-06-08,3018.35
steady_delivery_partner,2025-06-09,2876.47
steady_delivery_partner,2025-06-21,1514.79
steady_delivery_partner,2025-06-24,3454.53
steady_delivery_partner,2025-06-27,3721.07
steady_delivery_partner,2025-06-27,2379.15
steady_delivery_partner,2025-06-30,3992.58
